singer_name,singer_uri,song_name,song_uri,lyrics
​alone in the attic - guardin
Alone Together - Quadeca
Along for the Ride - Atwood
​a lot - 21 Savage feat. J. Cole
​alright - guardin
Alright - Kendrick Lamar
​alright - keshi
​altitude - guardin
​always - keshi
ALWAYS DO - The Kid LAROI
Always Forever - Bryson Tiller
A.M. - Lonr
America Loves Gangsters - Cunninlynguists
A Milli - Lil Wayne
​and - EDEN
Angel - beabadoobee
Angel - Bedroom Session - beabadoobee
ANGELZ - MF DOOM feat. Ghostface Killah
Another Day - Kid Cudi
Another Night - Mac Miller
Another Year - 111nightshift feat. Donttrustlando, Nosgov, & sphere merchants
Anything But Words - Banks & Steelz
Anywhere But Here - Killer Mike feat. Emily Panic
Apollo Kids - Ghostface Killah feat. Raekwon
Apologies - Kota the Friend
Apparently - J. Cole
​applause - whiterosemoxie
Apple Cider - beabadoobee
Are You Bored Yet? - Wallows feat. Clairo
Are You Okay? - Thomas Reid, Rxseboy, & Powfu
Are You Sure - beabadoobee
Argue with me - Jomie feat. Rxseboy
Art Class - beabadoobee
Art of War - Jasiah feat. Denzel Curry & Rico Nasty
Ashley - Stunna 4 Vegas & DaBaby
Assassination Day - Ghostface Killah feat. Raekwon, RZA, & Inspectah Deck
As the World Caves In - Matt Maltese
Aston Martin Music - Rick Ross feat. Drake & Chrisette Michele
Astronaut - Beach House
A Tale Of 2 Citiez - J. Cole
ATF - DMX
​atlas - keshi
ATL Freestyle - 6LACK
ATTENTION - Joji
Attention - Rich Brian feat. Offset
Atom - Cannibal Ox feat. Alaska & Cryptic
Aquemini - Outkast
​a way to stay - Fudasca feat. Resident & Hashir​​
A World Alone - Lorde
​a world of chaos - Powfu feat. Rxseboy, Jomie, & Ivri
Aw Shit - ZillaKami Solo - City Morgue
B
Babushka Boi - A$AP Rocky
Baby - Quality Control, Lil Baby, & DaBaby
Babyface Savage - Bhad Bhabie feat. Tory Lanez
Babylon - Outkast
Baby Pluto - Lil Uzi Vert
Baby Sitter - DaBaby feat. Offset
BabyWipe - Ski Mask The Slump God
Back - Lil Pump feat. Lil Yachty
Back Like That - Ghostface Killah feat. Ne-Yo
Back On - Quality Control & Lil Baby
Back On The Ledge - SAINt JHN
Backseat Freestyle - Kendrick Lamar
Back To Mars - beabadoobee
​backup - guardin
Backwards - Forrest.⠀
Back With You - SUGR?
Bad and Boujee - Migos feat. Lil Uzi Vert
BADASS - ZillaKami & Lil Uzi Vert
Bad Bad Bad - Young Thug feat. Lil Baby
Bad Boy - Juice WRLD & Young Thug
Bad Day - Nyck Caution feat. Denzel Curry
Bad Girls - Lil Skies feat. Gucci Mane
Bad Hoe - Tom The Mail Man
Bad Luck - Denzel Curry feat. PlayThatBoiZay
Bad Moon Rising - Creedence Clearwater Revival
B.a.F - $ilkmoney
BagBak - Vince Staples
Baguetti - Smino, JID, & Kenny Beats
BALD! REMIX - JPEGMAFIA & Denzel Curry
Balenciaga Challenge - 6LACK feat. Offset
Ballin' - Mustard feat. Roddy Ricch
Ball Hard - Lil Wayne feat. Lil Twist
Banana Clip - Miguel
Banana Clipper - Run The Jewels feat. Big Boi
​bandaids - keshi
Bank - EARTHGANG
Bank Account - 21 Savage
Baptize - Spillage Village, JID, & EARTHGANG feat. Ant Clemons
Barbarian - Calboy feat. Lil Tjay
Bastard (Satan's Kid) - Lil Wayne
Batter Up - Nelly, Murphy Lee, & Ali
Battle for Asgard - Cannibal Ox feat. L.I.F.E. Long & C-Rayz Walz
Be (Intro) - Common
Beach Ballin' - Yung Pinch feat. blackbear
Beach Whatever - Surf Curse
BEAMIN - Quadeca
Beast Mode - A Boogie Wit da Hoodie feat. PnB Rock & YoungBoy Never Broke Again
Beat Take 1 - The Neighbourhood feat. Ghostface Killah
Beautiful Girl - Cunninlynguists
Beautiful Morning - Little Brother
Beautiful Oblivion - The Neighbourhood feat. IDK
Beautiful Smile - Saba feat. IDK
BedRock - Young Money feat. Lloyd
Be Easy - Ghostface Killah feat. Ice Cube
Be Easy - Ghostface Killah feat. Trife Diesel
Be Easy - T.I.⠀
Beef Rap - MF DOOM
Been a While - Jhove
​before i met you - Jhove feat. Elijah Lee
Before You Go - Lewis Capaldi
Behind the Clouds - yaeow
​beibs in the trap - Travis Scott feat. NAV
Be Like Me - Lil Pump feat. Lil Wayne
Believe - Big K.R.I.T.⠀
Below The Heavens pt. 1 - Blu & Exile
Belly - Lil Baby & Gunna
​benny's and henny - foryou, & versor
Beno! - Playboi Carti
Be You - Gangsta Boo feat. Crunchy Black
BERZERK - Scarlxrd
​beside you - keshi
Best Friend - DaBaby feat. Rich The Kid
BEST ON EARTH - Bonus - Russ feat. BIA
Betrayal - Gang Starr feat. Scarface
Better - Forrest.⠀
Better Times - Beach House
Beyond Love - Beach House
Bezerk - Big Sean feat. A$AP Ferg
BFK - Freddie Gibbs
B.I.B.L.E. (Basic Instructions Before Leaving Earth) - GZA feat. Killah Priest
Big Bank - Big K.R.I.T. feat. T.I.⠀
Big Black Truck - Dreamville & JID
Big Dawg - Smokepurpp feat. Rick Ross
Big Dusty - Joey Bada$$
Big Fish - Vince Staples
Big For Your Boots - Stormzy
Bigger Than Life - Lil Uzi Vert
Bigger Than You - 2 Chainz feat. Drake & Quavo
Big Girl - Ghostface Killah
Big Shrimp - Flatbush Zombies
Big Time - Vince Staples
Birds & Bees - Vince Staples feat. Daley
BIRDZ - Denzel Curry feat. Rick Ross
Bitch, Don't Kill My Vibe - Kendrick Lamar
B.I.T.E. - Fabolous
BITIN' - PlayThatBoiZay
B.I. Vs. Friendship - Gang Starr feat. M.O.P.⠀
Black & White - Juice WRLD
Black 2 - Buddy
BLACK BALLOONS | 13LACK 13ALLOONZ - Denzel Curry feat. Twelve'len & GoldLink
Black Balloons Reprise - Flying Lotus feat. Denzel Curry
Black Beatles - Rae Sremmurd feat. Gucci Mane
Black Connection - Camp Lo
BLACKJACK - Remix - Aminé feat. Cordae
BLACK METAL TERRORIST | 13 M T - Denzel Curry
Black Nostaljack AKA Come On - Camp Lo
BLACKOUT - Lil Kapow
(BLACK)PLANET - SAIAH
Blind - SadBoyProlific
Blind Threats - ScHoolboy Q feat. Raekwon
Blockbuster Night, Pt. 1 - Run The Jewels
Blood Hound - 50 Cent feat. Young Buck
Bloodshed - Denzel Curry
​bloody valentine - Machine Gun Kelly​
​bloody valentine - Acoustic - Machine Gun Kelly & Travis Barker
​bloom - fragile.⠀
Blow a Bag - Future
Blowing Down - Digable Planets
Blu Collar Worker - Blu & Exile
​blue - guardin
​blue - keshi
Blue - The Neighbourhood
​blue - Remix - keshi feat. Jai Wolf
Bluebird - Beach House
Bluegrass - E the profit
Blue Moon - EARTHGANG
Blue Suede - Vince Staples
Blurred voices - Bonjr, Ouska, & versor
B.O.B. - Bombs Over Baghdad - Outkast
​body bag - Machine Gun Kelly feat. YUNGBLUD & Bert McCracken
Bomb - Freddie Gibbs & Madlib feat. Raekwon
Bonfire - Brenky
Bonfire - Childish Gambino
​bon iver - mxmtoon
BOP - DaBaby
Bora Bora - Lil Durk
Borders - SAINt JHN feat. Lenny Kravitz
Bored Without You - Rxseboy feat. Powfu
Boss - Lil Pump
Both - Remix - Gucci Mane feat. Drake & Lil Wayne
​boudreaux's - foryou, & versor​
Bounce Out With That - YBN Nahmir
Box In Hand - Ghostface Killah feat. Method Man & Street
Boy Bi - Mad Tsai
BOYFRIEND KILLER - Palmertrees
Brain Cell - Cunninlynguists
​brakence 2.0 freestyle - brakence feat. Majent
Brand New - khai dreams
​break da law - 21 Savage
Break The Bank - ScHoolboy Q
Breathe - 88rising, Joji, & Don Krez
Breathe - Lauv
Brighter Days - Jomie
Brilliant Bitch - SAINt JHN
Bring Da Ruckus - Wu-Tang Clan
Broccoli - Shelley FKA DRAM feat. Lil Yachty
Broke As Fuck - Cordae
Broke Bitch - Tiny Meat Gang
Broke In A Minute - Tory Lanez
Broke Leg - Tory Lanez, Quavo, & Tyga
Broken - Freddie Gibbs & Madlib feat. Scarface
Broken - THEY. feat. Jessie Reyez
Broken Trust - SadBoyProlific feat. Monty Datta & Mishaal
Brooklyn - Mos Def
Brooklyn's Finest - JAY-Z feat. The Notorious B.I.G
Brown Paper Bag - Migos
​brutal - Olivia Rodrigo
Bruuuh - Remix - JID & Denzel Curry
B.S. - Jhené Aiko feat H.E.R.⠀
BUAKAW - City Morgue
Bubblin - Anderson .Paak
Buck 50 - Ghostface Killah feat. Cappadonna, Method Man, & Redman
Building Steam With A Grain Of Salt - DJ Shadow
BULLETPROOF SHOWER CAP - Pouya feat. City Morgue
Bummer Friend - Surf Curse
Bundy & Sincere - Curren$y, Freddie Gibbs, & The Alchemist
Burgundy - Earl Sweatshirt feat. Vince Stapkes
Burnin Bridges / Long Day - Quadeca feat. IDK
Burn The Hoods - Ski Mask The Slump God
BUSHY B INTERLUDE - Denzel Curry
Business Is Business - Lil Baby & Gunna
Bust Me - Lil Uzi Vert
Butane (Champion's Anthem) - Killer Mike feat. El-P
But I Still Respect Women - Smokepurpp
Butterflies - Fiji Blue
BUZZCUT - BROCKHAMPTON feat. Danny Brown
Bye - Snøw, Jomie, Skinny Atlas, Ivri, & tomcbumpz
C
Cabin Fever - CORPSE
Caged - Jomie & Skinny Atlas
CAKE - 1 800 PAIN
Calculator - 88rising & AUGUST 08 feat. Barney Bones
California - 88rising, Rich Brian, NIKI, & Warren Hue
Calling My Phone - Lil Tjay & 6LACK
Candles on Fire! - Quadeca
Can I - Kehlani
Can I Live - JAY-Z
Can I Live II - JAY-Z feat. Memphis Bleek
CAN'T GET OVER YOU - Joji feat. Clams Casino
Can't Go Back - Kojey Radical
​can't leave without it - 21 Savage feat. Lil Baby & Gunna
​can't look back - Machine Gun Kelly
CAN'T SAY - Travis Scott
Can't You See? - Quadeca
Can U Get Away - 2Pac
CAPO - NLE Choppa
Care - beabadoobee
Caroline - Calboy feat. Polo G
CAROUSEL - Travis Scott
Carter II - Lil Wayne
Case Closed - Redman feat. Rockwilder & Napalm
CASH MANIAC | CAZH MAN1AC - Denzel Curry feat. Nyyjerya
Cashmere Tears - Kojey Radical
Carterpillar - Royce Da 5'9"" feat. Eminem & King Green
Cat Girls Are Ruining My Life! - CORPSE
Cat Piss - Ski Mask The Slump God feat. Lil Yachty
Cause for Concern - Lovejoy
Caved In - Cunninlynguists
CB4 - Slum Village
Ceilings - beabadoobee
Ceilings - Bedroom Session - beabadoobee
Celebrate - DaBaby feat. Rich Homie Quan
Celebration Station - Lil Uzi Vert
Cell Therapy - Goodie Mob
Centurion - Earl Sweatshirt feat. Vince Staples
Cereal - IDK & JID feat. Kenny Mason
Chanel - Frank Ocean
Change Lanes - Kevin Gates
Chaos - SadBoyProlific feat. marc indigo & M.E
CHAOS IS A LADDER - Bonjr
Chariot - Calboy feat. Meek Mill, Lil Durk, & Young Thug
​charity - YUNGBLUD
Charlie Brown - beabadoobee
Chasing Cars - Snow Patrol
Chateau - Jaden feat. A$AP Rocky
Cheatin' - Little Brother
Chi-City - Common
Chill Bill - Rob $tone feat. J. Davi$ & Spooks
Chill Bill REMIX - Rob $tone feat. Shelley FKA DRAM, Denzel Curry, & Cousin Stizz
Chloe Kelly - Surf Curse
Chrome Heart Tags - Lil Uzi Vert
Chum - Earl Sweatshirt
Circles - EDEN
City of Angels - Miguel
Clash - Cornelius
​clash of the titans - Powfu
Class In Session - A1TH & Quadeca
​cliché - mxmtoon
​cliffnote - guardin
Clinton Hill - Kota the Friend
Clipse of Doom - Ghostface Killah feat. Trife Diesel
Clockwise - Remix - Jarrod Gipson feat. Synova
Close My Eyes - 21 Savage
Close Your Eyes (And Count To Fuck) - Run The Jewels feat. Zack De La Rocha
Clouded - brakence
Clout - Offset feat. Cardi B
CLOUT COBAIN | CLOUT CO13A1N - Denzel Curry
Cludder - JID
C.N.B. - Vince Staples
Coast/Clear - Beast Coast
Coat Check / Session 47 - Nyck Caution
Cocktail - EARTHGANG
​codename juliet - guardin feat. sadeyes
Coffee - beabadoobee
Cokewhite - GoldLink feat. Pusha T
​cold - guardin feat. guccihighwaters
Cold Hearted - Blu & Exile
Collect Calls - Quando Rondo
Come Back Baby - Pusha T
Come Through and Chill - Miguel feat. J. Cole & Salaam Remi
COME THRU - Joji
Comfort Zone - Yot Club
Comfy In Nautica - Panda Bear
Commercial - Lil Baby feat. Lil Uzi Vert
Compton - Kendrick Lamar feat. Dr. Dre
​concert for aliens - Machine Gun Kelly
Confetti - Rich Brian
Consecutive Normal Punches - Domo Genesis feat. Buddy
Constellations - Laffey feat. Oatmello
Coolie High - Camp Lo
'Cosmic'.4a [The Alchemist Version] - Denzel Curry & Kenny Beats feat. Joey Bada$$ & The Alchemist
Costa Rica - Dreamville, Bas, & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mex, Smokepurpp, Buddy, & Ski Mask The Slump God
Costa Rica - Ronny J feat. Ski Mask The Slump God
​cotton candy - YUNGBLUD
Cotton Cloud - Fatb
CRACK - 1 800 PAIN
CRANK - City Morgue
​crash - EDEN
Crashed My Whip - Jomie
​crazy - guardin
Crazy - Lil Pump
​creature - guardin
​creep - mxmtoon​
Creeping - Lil Skies feat. Rich The Kid
Crescendo - The Underachievers
Criminal - Miguel feat. Rick Ross
​cuba lake - guardin
Cult4Ever - SAINt JHN
Cutlass - Jadakiss feat. Exodus

D
Da Art of Storytellin' (Pt. 1) - Outkast
Da Art of Storytellin' (Pt. 2) - Outkast
Daemons - XXXTENTACION feat. Kemba & Joey Bada$$
​daisies - guardin feat. Flowars
Damaged - Kid Cudi
Damien - DMX
Da Mystery of Chessboxin' - Wu-Tang Clan
Dancing In The Rain - Blu & Exile
Dance with Me - beabadoobee
Dance with the Devil - Immortal Technique
Dark Knight Dummo - Trippie Redd feat. Travis Scott
Dark Queen - Lil Uzi Vert
D.A.R.L.I.N.G. - Beach House
Da Rockwilder - Method Man & Redman
​date night - whiterosemoxie
Dat $tick (Remix) - Rich Brian feat. Ghostface Killah & Pouya
Day By Day - Fiji Blue
Daydreamin' - Lupe Fiasco feat. Jill Scott
Daylight - Joji & Diplo
Days Like This - GoldLink feat. Khalid
Days of Candy - Beach House
Daytona 500 - Ghostface Killah feat. Raekwon & Cappadonna
DAYWALKER! - Machine Gun Kelly feat. CORPSE
DDFH - Run The Jewels
Dead Bent - MF DOOM
DEAD DESERT - Trippie Redd & Travis Barker feat. Scarlxrd & ZillaKami
Dead Eyes - Promoting Sounds, Powfu, & Ouse
Deadz - Migos feat. 2 Chainz
Dear Mama - 2Pac
Death - Trippie Redd feat. DaBaby
​death bed (coffee for your head) - Powfu feat. beabadoobee
Deathtrap - Gravediggaz
​december - mj apanay
​Deep End - Lil Baby
Deeper - Freddie Gibbs & Madlib
​deja vu - Olivia Rodrigo
Demanding - $NOT
DESTROYUSALL - 1 800 PAIN
Devil In A New Dress - Kanye West feat. Rick Ross
D'evils - JAY-Z
Devil Town - Cavetown
Diamonds From Sierra Leone - Bonus Track - Kanye West
Diary of a Madman - Gravediggaz
Did It Again - Lil Tecca
Die For Me - Post Malone feat. Future & Halsey
Die For You - The Weeknd
DIET_ - Denzel Curry & Kenny Beats
DIET_1.5 - Denzel Curry & Kenny Beats feat. Benny The Butcher
Die Trying - Michl
Different Class, Same Boat - Powfu
Different Scales - Mick Jenkins
Digital - IDK
Digits - Young Thug
Dirt Off Your Shoulder - JAY-Z
Dirty - Shoreline Mafia
Dirty Dan - Lil Kapow
​dirty elevator music - Flatbush Zombies
Dirty Money - Clipse
Dirty Taurus - Ant Beale & Charlie Heat
Disappear - beabadoobee
Disappear - Bedroom Session - beabadoobee
Disconnect - 6LACK
Disrespectin - 88rising, Rich Brian, Higher Brothers, & AUGUST 08
Diva - The Kid LAROI feat. Lil Tecca
DND - Polo G
DOA - Rich Brian
DO DAT - Stunna 4 Vegas feat. DaBaby & Lil Baby
Dogs Of War - Ghostface Killah feat. Raekwon, Theodore Unit, Trife Diesel, Capadonna, & Sun God
Dog Song - Yot Club
Do It Now - Mos Def feat. Busta Rhymes
Dominate The Weak - Ice Cube
Domo23 - Tyler, The Creator
Do Not Disturb - Smokepurpp & Murda Beatz feat. Lil Yachty & Offset
Don't Care - Rich Brian
Don't Come Out The House - Metro Boomin & 21 Savage
​don't fall asleep - guardin
​don't fall asleep yet - Powfu feat. ENRA
Don't Get Chipped - Vince Staples
Don't Like.1 - Kanye West, Chief Keef, Pusha T, Big Sean, & Jadakiss
Don't Pray For Me - Quando Rondo
Don't Push Me - 50 Cent feat. Lloyd Banks & Eminem
Don't Stand So Close - Gangsta Boo feat. DJ Paul & Juicy J
Don't Talk (Put Your Head On My Shoulder) - The Beach Boys
​doom - tomcbumpz, SadBoyProlific, & Ivri
Dope Boy Dreams - Quando Rondo
Dopeman - Vince Staples feat. Joey Fatts & Kilo Kish
Do What U Feel - Redman
Down And Out - Cam'ron feat. Kanye  West & Syleena Johnson
Down Bad - Dreamville, JID, Bas, J. Cole, & EARTHGANG feat. Young Nudy
Down Below - Roddy Ricch
Down Like That - KSI feat. S-X, Lil Baby, & Rick Ross
​downstairs - guardin
Dragged - Corbin
DRAINO - City Morgue feat. Denzel Curry
Drip - Snøw, Skinny Atlas, & Jomie
Drip Too Hard - Lil Baby & Gunna
Drive On - NIKI
​drivers license - Olivia Rodrigo
Drive Safe - Rich Brian
Drive Slow - Calica
Drizzy Draco - Maxo Kream
​dropout - brakence
​dropout - brakence w/ blackbear
Drowning - A Boogie Wit da Hoodie feat. Kodak Black
​drugs - EDEN
​drunk - Fudasca feat. Laeland & Rxseboy
​drunk - keshi
​drunk face - Machine Gun Kelly
Duel Of The Iron Mic - GZA feat. Masta Killa, Dreddy Kruger, Inspectah Deck, & Ol' Dirty Bastard
Due Season - Jesse Boone
Dye It Red - beabadoobee
Dyin Breed - Polo G

E
EARFQUAKE - Tyler, The Creator
East Atlanta Love Letter - 6LACK feat. Future
​echo complex - Bonjr & singular balance
Ecstasy - Young Thug feat. Machine Gun Kelly
​effort - brakence
Effortless - Polo G
Egg Man - Beastie Boys
E-GIRLS ARE RUINING MY LIFE - CORPSE & Savage Ga$p
Ego Death - Quadeca
Elevators (Me & You) - Outkast
Eleven - Kojey Radical
Emo Song - beabadoobee
Emotionally Dumb - Kota the Friend
Enby Cypher - 111nightshift feat. grimtweakr, carpetgarden, brdynl, stagehoax, Smeliot, BeanyBoy, Killing Cassie, & sc0ttryan
Endless - gate 문
Enemies - Post Malone feat. DaBaby
Enjoy the Moment - Rxseboy
​enough for you - Olivia Rodrigo
Envy Me - Calboy
ERASE U - The Kid LAROI
Erase Your Social - Lil Uzi Vert
Escape From LA - The Weeknd
Eternally - TOMORROW X TOGETHER
​even - mj apanay
Event Horizon - gate 문
Everest - beabadoobee
Everydays, Vol. 1 - Boltex, Holly, Whosmodz, & Bonjr
Everytime - Jomie W/ Powfu
Ew - Joji
Examination Of What - Digable Planets
Ex Calling - 6LACK
Ex-Factor - Ms. Lauryn Hill
Eye for a Eye (Your Beef Is Mines) - Mobb Deep feat. Nas & Raekwon
Eyes - Quadeca
Eyes Blue Like The Atlantic, Pt. 2 - Sista Prod feat. Powfu, Alec Benjamin, Rxseboy, & Sarcastic Sounds

F
Fade - Knowmadic
Faithful - Common
Fallin - Bazzi feat. 6LACK
Fallin' Apart - Young Franco feat. Denzel Curry & Pell
​falling - C H O I S I E S, Teqkoi, & bobby someone
Falling for U - Peachy! & mxmtoon
Fallingforyou - The 1975
​falling in reverse - EDEN
​falling out the window - guardin
FALL IN LOVE - $NOT
Far Gone - Ski Mask The Slump God feat. Lil Baby
Fast Lane - Bad Meets Evil
Faucet Failure - Ski Mask The Slump God
​favorite crime - Olivia Rodrigo
Favorite Mistake - Giveon
FBC - Freddie Gibbs
Feel About It - Kojey Radical
​​feelings are fatal - mxmtoon
​feelings i forgot - mj apanay
Feelin' It - JAY-Z feat. Mecca
Feelin' The Love - Vince Staples
Feels Like Summer - Vince Staples
FEEL SOMETHING - The Kid LAROI feat. Marshmello
Female Robbery - The Neighbourhood
​fever dream - mxmtoon
Fields - EARTHGANG feat. Malik
​fiends - whiterosemoxie
Fight Music - D12
FIND HIM! - Comethazine
Find My Way - khai dreams & Atwood
Fingertips - Skinny Atlas, Snøw, & Jomie feat. kerri
Fire Squad - J. Cole
​first - mxmtoon
​firstego - brakence
First Place - Polo G & Lil Tjay
First Things First - Blu & Exile
Fish - Ghostface Killah feat. Raekwon & Cappadonna
Fish Outta Bacardi - Quadeca & EGOVERT
Flex - Polo G feat. Juice WRLD
Float - 6LACK
​float - EDEN
Float - The Neighbourhood
Floating - ScHoolboy Q feat. 21 Savage
Flooded - Lil Skies
Flowers - The Neighbourhood
Fly Away - khai dreams, Matt Jordan, & Atwood
Flying High - Travis Scott feat. Toro y Moi
Fly Out West - Yot Club
F.N - Lil Tjay
Focus - Bazzi feat. 21 Savage
​fomo - EDEN
Fool - Cavetown
Foot Fungus - Ski Mask The Slump God
For All My N😁😁😁😁z and Bitches - Snoop Dogg feat. The Lady Of Rage & Tha Dogg Pound
Forever - Drake, Kanye West, Lil Wayne, & Eminem
Forever - Lil Baby feat. Lil Wayne
Forever - sadgods feat. Flowars & Kenny
Forever - Tom The mail Man
Forever Love - SuperDuperWavey
​forever//over - EDEN
​forget me too - Machine Gun Kelly feat. Halsey
Forget That - Lil Baby feat. Rylo Rodriguez
Forgot About Dre - Dr. Dre feat. Eminem
FRANCHISE - Travis Scott feat. Young Thug & M.I.A.⠀
Freaks - Surf Curse
Freddy Krueger - YNW Melly feat. Tee Grizzley
Free - 6LACK
Freedom Is Priceless - SAINt JHN
Freedom of Speech - Immortal Technique
Free Fall - Cornelius
Free Lighter - 2 Chainz feat. Lil Uzi Vert & Chief Keef
Free Mason - Rick Ross feat. JAY-Z
Fr Fr - Wiz Khalifa feat. Lil Skies
Friday Night Cypher - Big Sean feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", & Eminem
Friends - Mishaal feat. Powfu
FromdaTomb$ - Joey Bada$$ feat. Chuck Strangers
​fuckboy - brakence
​fucking beautiful, but no finish line in sight - foryou,⠀
F*CKING UP FREESTYLE - Stunna 4 Vegas
F*ck Up Some Commas - Future
F*CK YOU, GOODBYE - The Kid LAROI feat. Machine Gun Kelly
F*ck Your Ethnicity - Kendrick Lamar
Fuel - Black Thought feat. Portugal. The Man & The Last Artful, Dodgr
Full Speed - Vincent Augustus feat. Atwood
Fumes - EDEN feat. gnash
FUN! - Vince Staples
Funeral - Lil Wayne
Funky For You - Common feat. Bilal & Jill Scott
​future diary - Powfu feat. Jomie & Skinny Atlas
Fvck Dat - Jabb
​fwb - brakence

G
Game Over - Yot Club & Nice Guys
GANG GANG - Polo G & Lil Wayne
Gang Related - Logic
Gangsta - ScHoolboy Q
Gangsta's Paradise - Coolio feat. L.V
Gangsta Sh*t - Outkast feat. Slimm Calhoun, C-Bone, & TMO
Gang Up - Young Thug, 2 Chainz, Wiz Khalifa, & PnB Rock
Gasoline Dreams - Outkast feat. Khujo Goodie
Gaspar Yanga - D Smoke feat. Snoop Dogg
Gates to the Sun (POLLEN Singles) - SahBabii feat. Joji
Get at Me - DJ Quik
Get At Me Dog - DMX feat. Sheek
Get Em High - Kanye West feat. Talib Kweli & Common
Get It - Run The Jewels
Get Paid - Vince Staples feat. Desi Mo
Get Right Witcha - Migos
Get The Fuck Off My Dick - Vince Staples
Ghost Deini - Ghostface Killah feat. Superb
Ghostface Killers - 21 Savage, Offset, & Metro Boomin feat. Travis Scott
Ghost in My Mind - j'san & Epektase
Ghost - Remix - Jaden & A$AP Rocky
Ghosts - Scapegoat
Giant - Banks & Steelz
Gila - Bach House
Gimme Love - Joji
​ginger tea - brakence
Girl - gate 문
Givenchy Kickin - Calboy feat. Lil Baby & Lil Tjay
Give Up the Goods (Just Step) - Mobb Deep feat. Big Noyd
Giving Up - Corbin
Glaciers of Ice - Raekwon feat. Ghostface Killah & Masta Killa
Glass House - Wiz Khalifa feat.  Curren$y & Big K.R.I.T
Glitter - Tyler, The Creator
Glow Up - Meek Mill
GNF (OKOKOK) - Polo G
GO! - Common
Go! - Killer Mike
GO - The Kid LAROI feat. Juice WRLD
​go - whiterosemoxie
Go Away! - Scapegoat
GOD BLESS THE RATCHETS - SAINt JHN
Goddamn - Tyga feat. A Boogie Wit da Hoodie
God Lives Through - A Tribe Called Quest
God Only Knows - The Beach Boys
​god save me, but don't drown me out - YUNGBLUD
God's Plan - Drake
Godzilla - Eminem feat. Juice WRLD
Go (Gas) - Domo Genesis feat. Wiz Khalifa, Juicy J, & Tyler, The Creator
Goin Down - Scarface
Going Bad - Meek Mill feat. Drake
​gold - EDEN
Gold - GZA
Gold Coast - 88rising & Rich Brian
Gone - Kanye West feat. Consequence & Cam'ron
Gone - The Weeknd
Good - Atwood
​good 4 u - Olivia Rodrigo
Goodbyes - Post Malone feat. Young Thug
Good Dank - Wiz Khalifa
​good day - 21 Savage feat. ScHoolboy Q & Project Pat
Good Day - iann dior
Good Days - SZA
Good for Nothing - Powfu feat. guardin
Good Life - Blu & Exile
Good Life - Kanye West feat. T-Pain
​good morning - EDEN
Good Morning - Black Thought feat. Pusha T, Swizz Beatz, & Killer Mike
Good Night - Denzel Curry feat. Twelve'len & Nell
Good on My Own - Jomie & Skinny Atlas
Gook - Denzel Curry
Gorgeous - SAINt JHN
Go Slow - Yot Club
GOSPEL - DaBaby feat. Chance the Rapper, Gucci Mane, & YK Osiris
Go Stupid - Polo G & Stunna 4 Vegas feat. NLE Choppa & Mike WiLL Made-It
Got - Mos Def
Goth Babe - Surf Curse
Got It - Jaden
Go to Mars - PnB Rock feat. Tee Grizzley
GP4 - Logic
Grace - Lil Baby feat. 42 Dugg
Gravehop187 - City Morgue feat. Sickboyrari
Gravity - EDEN
Greater Love - Blu & Exile
Green Light - Lorde
Grey Area - 2 Chainz
Groovy Tony / Eddie Kane - ScHoolboy Q feat. Jadakiss
​growing - 50landing
Grown - Atwood
G-Shit - Tiny Meat Gang & Spock
Gucci Gucci - Lil Durk feat. Gunna
GUESS WHAT - Russ feat. Rick Ross
Guess Who - Goodie Mob
GUMMY - BROCKHAMPTON
Gundam Wing - Anonymuz
Gwendolynn's Apprehension - Mick Jenkins

H
​hadiknownsooner - Bonjr, Nekö, & versor
Hair Down - SiR feat. Kendrick Lamar
Halfway Off The Balcony - Big Sean
Hand of the Dead Body - Scarface
Hands Up - Vince Staples
Hang N' Bang - Vince Staples feat. A$Ton Matthews
​hangover cure - Machine Gun Kelly
​happier - Olivia Rodrigo
Happy - SadBoyProlific feat. Thomas Reid & Teqkoi
Hardest To Love - The Weeknd
Hard Feelings/Loveless - Lorde
Hardknock - Joey Bada$$ feat. CJ Fly
Hard Piano - Pusha T feat. Rick Ross
Harem - Miguel
Harold's - Freddie Gibbs & Madlib
Hasta Luego - Bonus - JID
Hate Bein' Sober - Chief Keef feat. 50 Cent & Wiz Khalifa
Hate It Or Love It - The Game feat. 50 Cent
HATEMELOVEME - SAIAH
Hate The Other Side - Juice WRLD feat. Marshmello, The Kid LAROI, & Polo G
Hate to Be It - Swerzie
Havoc - $NOT
Hazel - Cavetown
Hazeus View - Joey Bada$$
Headstone - Flatbush Zombies
​​heal - 50landing
Heartache - yaeow
Heart Attack - Scarlxrd
Heartbeat Conversations - Rxseboy
HEART(BREAK) - SAIAH
Heartless - Denzel Curry
Heartless - Kanye West
Heartless - Polo G feat. Mustard
Heart of Chambers - Beach House
Heart Of The City (Ain't No Love) - JAY-Z
Heathers - Surf Curse
Heatin Up - Lil Baby feat. Gunna
Heatwave - Yot Club
Heaven Or Las Vegas - The Weeknd
Hectic - A$AP Ferg feat. Puff Daddy
Hellfire - Cunninlynguists
